Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
230410_11,VF050223_104833,Day1_Trial6,Chamber1,,,White House Light,4,299.467,99.82,99.82,0.06,0,45,APOE33HN,male,Sedentary,HFD,,22
230410_12,VF050223_104833,Day1_Trial6,Chamber2,,,White House Light,37,297.167,99.06,99.06,0.31,0,89,APOE33HN,male,Sedentary,HFD,43,22
230410_13,VF050223_105646,Day1_Trial7,Chamber1,,,White House Light,11,294.233,98.08,98.08,2.63,0,1574,APOE33HN,male,Sedentary,HFD,40,22
230410_14,VF050223_105646,Day1_Trial7,Chamber2,,,White House Light,130,255.033,85.01,85.01,3.66,0,331,APOE33HN,female,Sedentary,HFD,,22
230410_15,VF050223_110448,Day1_Trial8,Chamber1,,,White House Light,30,286.933,95.64,95.64,1.3,0,181,KO,female,Sedentary,Control,,19.36666667
230410_16,VF050223_110448,Day1_Trial8,Chamber2,,,White House Light,8,299.167,99.72,99.72,0.1,0,81,KO,female,Sedentary,Control,,19.36666667
230410_17,VF050223_111339,Day1_Trial9,Chamber1,,,White House Light,18,288.6,96.2,96.2,1.68,0,262,KO,female,Sedentary,Control,28,19.36666667
230410_18,VF050223_111339,Day1_Trial9,Chamber2,,,White House Light,35,290.367,96.79,96.79,0.95,0,368,KO,female,Sedentary,Control,28,19.36666667
230410_19,VF050223_112211,Day1_Trial10,Chamber1,,,White House Light,1,300,100,100,0,0,1,KO,male,Sedentary,Control,33,19.36666667
230410_20,VF050223_112211,Day1_Trial10,Chamber2,,,White House Light,29,296.033,98.68,98.68,0.3,0,77,KO,male,Sedentary,Control,33,19.36666667
230313_1,VF040423_103556,Day1_Trial1,Chamber1,,,White House Light,2,299.633,99.88,99.88,0.03,0,53,APOE22,male,Exercise,Control,30,17.66666667
230313_2,VF040423_103556,Day1_Trial1,Chamber2,,,White House Light,67,256.433,85.48,85.48,3.41,0,184,APOE22,male,Exercise,Control,31,17.66666667
230313_3,VF040423_104536,Day1_Trial2,Chamber1,,,White House Light,62,276.367,92.12,92.12,3.16,0,288,APOE22,male,Exercise,Control,29,17.66666667
